job_hash,subqueries
3116a332a096e640afaa7871c4a41a06,"What is the candidate's experience in developing iOS applications using Swift, Core Data, Core Animation, and Firebase?|||How proficient is the candidate in designing and implementing UX-focused iOS applications, with a deep understanding of Apple's Human Interface Guidelines (HIG) and Push Notifications (PN)?|||Can the candidate demonstrate experience in debugging and troubleshooting complex issues in their iOS applications, using tools such as GitLab and CI?|||How effective is the candidate in communicating technical concepts and ideas to cross-functional teams, including Analysts, Designers, and Architects?|||What is the candidate's experience in working with dynamic CTC and earning 50% more than the expected salary, while maintaining flexible work timings and no red-tape culture?"
3ac2baa27dae8c73d5cc9d854c1ce9a4,"What is the candidate's experience in developing scalable web applications using Ruby on Rails, and how have they optimized the performance of high-volume data pipelines?|||How proficient is the candidate in designing and implementing RESTful APIs, and can they provide examples of well-designed APIs that they have developed in the past?|||Can the candidate provide evidence of exposure to architectural patterns and design principles for large, high-scale web applications, such as object-oriented design, unit testing, and integration testing?"
f2b270439061332bd9709e54a86f0dd4,"What is the candidate's experience in developing enterprise-level web applications using Java 8 or higher, Spring Framework, and other relevant technologies?|||How proficient is the candidate in designing and implementing SOA-based architectures, web services, and microservices using Apache/CXF/JAXWS/JAXRS/SOAP/REST?|||Can the candidate demonstrate a deep understanding of UML and design patterns, as well as experience with agile software development practices such as coding standards, code reviews, source control management, and testing?"
2acbca381ad65b0dee1c94adc8d00d5b,"What is the candidate's experience in providing desktop support and troubleshooting for multiple operating systems, including Unix/Linux and Windows?|||How proficient is the candidate in using remote troubleshooting tools and techniques to resolve technical issues for external clients and internal business units?|||Can the candidate demonstrate experience in preparing desktop and laptop applications to meet user needs, and recording technical issues and solutions in logs?|||How effective is the candidate in communicating technical information to both technical and non-technical stakeholders, and can they provide technical leadership to ensure a strong focus on service continuity and the global IT strategy?|||Can the candidate demonstrate proficiency in using desktop and laptop applications, and can they walk customers through installing applications and computer peripherals?"
4a8498828bb94e257f72235cedec25e6,"What is the candidate's experience with developing scalable and resilient iOS applications using Objective-C and architecture patterns such as MVP, MVC, and MVVM?|||How proficient is the candidate in designing and implementing unit tests, mocking, UML diagrams, and dependency tools for iOS applications?|||Show me candidates with experience in developing Universal apps across iOS7, iOS8, and iOS9, and an understanding of the limitations of handset development, especially networking-related issues.|||Can the candidate demonstrate a strong focus on refactoring and code quality, with experience in software configuration management and release management?|||How does the candidate's experience with auto-layout and constraints, as well as their understanding of design patterns, contribute to their ability to design and develop scalable and resilient iOS applications?"
79616f5dee60b045e1aa9620a6e9874a,"What is the candidate's experience in developing and deploying software using the required languages and tools, such as Python, Perl, and C++?|||How proficient is the candidate in using web services and RESTful APIs to integrate and enhance the search and lookup functionality within Factset products?|||Show me candidates with experience in developing and improving search algorithms, including relevancy, scoring, learning, prediction, and analysis processes?|||Can the candidate communicate effectively with peers within the organization and collaborate with product developers, direct managers, and engineering peers to develop the correct solutions?|||What is the candidate's experience with SQL and Elasticsearch, and how have they applied these skills in previous roles or projects?"
02a5e4c72bc0a83f6748574959f5b8c7,"What is the candidate's experience with developing iOS applications using Objective-C and Swift, and what are some examples of their work in this area?|||How proficient is the candidate with integrating third-party SDKs and APIs into their iOS applications, and what experience do they have with protocols like REST and SOAP?|||Can the candidate provide examples of their experience with location-based services and analytics in iOS applications, and how have they optimized the performance of these features?|||How does the candidate approach designing and implementing user interfaces for iOS applications, and what experience do they have with creating visually appealing and user-friendly interfaces?|||What is the candidate's experience with Agile software development methodology, and how have they worked with small teams and minimal supervision in the past?"
0f44799d83a695e643b5cd092691042d,"What candidates have a strong understanding of algorithm and data structure design principles for scalable applications?|||How proficient are candidates in working with relational and NoSQL database technologies, and have they had exposure to Big Data and real-time analytics?|||Can candidates demonstrate experience in deploying and managing applications on public cloud platforms such as Amazon AWS, Google Cloud, or Microsoft Azure?|||What candidates have experience in using Python and Django to build scalable web applications, and can they provide examples of their work?|||Can candidates provide examples of their experience with designing and implementing REST APIs, and how do they approach API design and implementation?"
8ca1f95c4a816b80d8e7121d739efbcd,"What is the candidate's experience in developing enterprise-level applications using.NET Core, Web API, and Entity Framework?|||How proficient is the candidate in writing SQL queries and procedures, and adhering to SOLID principles?|||Show me candidates with experience in developing rich and responsible web applications, and an understanding of Common Design Patterns.|||Can the candidate demonstrate proficiency in writing unit and integration tests for their code?|||What is the candidate's experience with working in a team environment and adhering to industry standards and best practices?"
a60fe0a2e120fe514e56835d5a5dedfd,"What is the candidate's experience in developing scalable backend systems using Core Java and Spring framework, specifically with Spring Boot?|||How proficient is the candidate in designing and implementing data structures and algorithms for optimizing business processes and workflows?|||Show me candidates with strong knowledge of relational databases, specifically MySQL, and experience in integrating them with Spring Boot applications?|||How experienced is the candidate in working with various application servers, such as Tomcat, and configuring them for optimal performance?|||Can the candidate work independently and collaboratively within a team, and demonstrate a detail-oriented mindset with a focus on research and development?"
3ddfe4902830ce7d3236e4982ac26f26,"What is the candidate's experience in administering and maintaining server infrastructure in an enterprise environment, including server hardware and operating systems?|||How proficient is the candidate in designing, configuring, and deploying system and network security measures, including identity and access management (IAM) and disaster recovery plans?|||Can the candidate provide examples of how they have integrated technology solutions, such as LDAP, Active Directory, and Oracle WaveSE, to meet long-term requirements and ensure system reliability and performance?|||How well does the candidate understand the latest trends and technologies in web development, such as Java and SQL Server/Oracle, and how have they applied these technologies in their previous work?|||Can the candidate provide examples of how they have worked independently and within a team environment to gather data, analyze results, and communicate findings to stakeholders, and how have they adapted to changes in technology and business requirements?"
