job_hash,subqueries
3116a332a096e640afaa7871c4a41a06,"What are the key technical skills required for an iOS developer with 3 to 7 years of experience, including proficiency in Swift, Core Data, Core Animation, Firebase, and Apple HIG?|||How experienced are the candidates in working with cross-functional teams, including analysts, designers, and architects, to deliver high-quality iOS applications?|||What is the ideal candidate's understanding of UX principles and design, including the ability to communicate effectively both written and orally?|||What is the candidate's experience with Agile development methodologies, including GitLab and CI, and their ability to work in a dynamic environment with flexible work timings?|||What is the candidate's proficiency in Objective-C, and how does it complement their overall iOS development skills?"
3ac2baa27dae8c73d5cc9d854c1ce9a4,"What is the candidate's experience in developing high-quality, feature-rich backend architecture for data platforms, preferably in a fast-paced culture that fosters innovation and excellence in software engineering?|||How proficient is the candidate in implementing full-stack engineering experience in a Ruby/Rails environment, with a strong understanding of HTML, CSS, JavaScript, jQuery, and Angular, and experience with designing high-quality APIs and efficient algorithms?|||What is the candidate's experience in developing and maintaining large-scale web applications, with a focus on object-oriented design, unit testing, integration testing, and data structures, and a willingness to learn and adapt to new technologies and architectural patterns?|||How skilled is the candidate in developing email tools and SaaS offerings, with a strong understanding of software development habits and a willingness to get things done in a collaborative environment?|||What is the candidate's experience in working with a team to build a market-leading sales platform, with a strong emphasis on customer success, and a desire to learn and grow with a dynamic company like Yesware?"
f2b270439061332bd9709e54a86f0dd4,"What is the candidate's experience in developing scalable applications using Java 8 or higher, Spring Framework-Core/Boot/MVC, and Hibernate/JPA?|||How proficient is the candidate in designing and implementing Microservices Architecture, REST, and SOAP-based web services using Java and relevant frameworks?|||What is the candidate's experience in DevOps practices, including CI/CD pipelines with Jenkins, Docker, and Ansible, as well as cloud platforms like AWS?|||How skilled is the candidate in database management, including RDBMS like SQL Server, Oracle, MySQL, and PostgreSQL, and design patterns like UML?|||What is the candidate's experience in agile software development, including coding standards, code reviews, source control management, build processes, testing, and deployment, as well as mentoring and leading teams to meet high standards of delivery?"
2acbca381ad65b0dee1c94adc8d00d5b,"What is the candidate's experience in managing desktop environments, preferably with Unix/Linux systems?|||How skilled is the candidate in providing quality services to clients and internal business units, including troubleshooting and resolving technical issues?|||What is the candidate's proficiency in designing and implementing desktop solutions, including hardware, software, and networking configurations?|||How proficient is the candidate in communicating technical information to non-technical users, including providing step-by-step instructions and guiding users through installation and troubleshooting processes?|||What is the candidate's experience in working with on-call rosters, ticket management, and escalation procedures to ensure service continuity and meet business objectives?"
4a8498828bb94e257f72235cedec25e6,"What is the candidate's experience in developing iPhone and iPad clients using Objective-C, with a focus on architecture and design patterns such as MVP, MVC, and MVVM?|||How proficient is the candidate in designing and implementing automated unit tests, mocking, and continuous integration for iOS applications?|||What is the candidate's experience in developing Universal apps across multiple iOS versions, with expertise in Xcode, Interface Builder, and Instruments?|||How skilled is the candidate in software engineering, with a focus on refactoring, code quality, and software configuration management, as well as experience with agile development methodologies?|||What is the candidate's experience in designing scalable and resilient iOS applications, with expertise in UI design, problem-solving, and attention to detail?"
79616f5dee60b045e1aa9620a6e9874a,"What is the candidate's experience in developing software using Perl, Python, and C++ programming languages?|||How proficient is the candidate in working with web services, RESTful APIs, and Elasticsearch?|||What is the candidate's ability to learn and apply internal systems and processes for developing and deploying software, including proficiency with SQL and 3rd party tools and libraries?|||How effective is the candidate in communicating and collaborating with product developers, managers, and peers to develop correct solutions, with a focus on project planning and development?|||What is the candidate's experience in participating in training, executing on labs, and learning processes and technologies used in-house, with a focus on proficiency with the tools, libraries, and languages used in development?"
02a5e4c72bc0a83f6748574959f5b8c7,"What is the candidate's experience in developing iOS applications using Objective-C and Swift, with a focus on delivering great user experiences across various age groups?|||How proficient is the candidate in integrating third-party SDKs, APIs, and libraries, such as REST and SOAP protocols, into iOS applications?|||What is the candidate's experience in designing and implementing mobile applications with a strong focus on visual design aesthetic, object-oriented design, and data structures, using iOS Core Graphics and Core Data?|||How experienced is the candidate in deploying iOS applications to the App Store, with a proven track record of successful releases and maintenance of location-based services and analytics integrations?|||What is the candidate's understanding of the mobile development life cycle, including Agile software development methodology, and their ability to work in a small team with minimal supervision, while staying up-to-date with emerging technologies and trends in the mobile space?"
0f44799d83a695e643b5cd092691042d,"What is the candidate's experience in designing and implementing scalable software applications based on algorithm and data structure principles?|||How proficient is the candidate in relational and NoSQL database technologies, including Big Data and real-time analytics?|||What is the candidate's experience in deploying and managing applications on public cloud platforms such as Amazon AWS, Google Cloud, or Microsoft Azure?"
8ca1f95c4a816b80d8e7121d739efbcd,"What is the candidate's experience in developing enterprise-level software applications using.NET Core and Web API?|||How proficient is the candidate in designing and implementing database systems using Entity Framework and SQL queries?|||Show me candidates with strong knowledge of software design patterns, specifically those adhering to SOLID principles.|||What is the candidate's experience in writing and implementing unit and integration tests for software applications?|||What is the candidate's experience in developing rich and responsible web applications with a focus on quality and reliability?"
a60fe0a2e120fe514e56835d5a5dedfd,"What is the candidate's experience in developing scalable software applications using Core Java, with a focus on object-oriented design principles?|||How proficient is the candidate in designing and implementing enterprise-level applications using the Spring framework, particularly with Spring Boot?|||What is the candidate's expertise in working with relational databases, data structures, and algorithms, including knowledge of MySQL and MongoDB?|||How skilled is the candidate in working with application servers like Tomcat and in automating business processes to meet future growth through workflows?|||What is the candidate's ability to work independently and collaboratively within a team, with a strong research and detail-oriented mindset?"
